ProjectID,ProjectPI,OutputVenue,OutputTitle,OutputVolume,ProjectTitle,ProjectEndYear,OutputType,OutputStatus,Affiliation,DOI,OutputMonth,OutputBiblio,ProjectYearStarted,OutputYear,ProjectRDC,ProjectStartYear,ProjID,ProjectStatus,PredictedTopic,OutputNumber,ProjectYearEnded,OutputPages,Keywords
908.0,Benjamin W Pugsley,American Economic Review,The Role of Startups in Structural Transformation,106,Industry and Sectoral Variation in Firm Dynamics,2017.0,JA,PB,,10.3386/w14250,,"Dent, Robert C., Fatih Karahan, Benjamin Pugsley, and Ayşegül Sahin. 2016. “The Role of Startups in Structural Transformation.” American Economic Review 106: 219-23. [RDC]",,2016.0,Baruch,2013.0,,Completed,economics,,,,"startups structural, structural transformation, structural, startups, role startups"
908.0,Benjamin W Pugsley,Center for Economic Studies,The Role of Start-Ups in Structural Transformation,,Industry and Sectoral Variation in Firm Dynamics,2017.0,WP,PB,,10.3386/w14250,,"Dent, Robert C., Fatih Karahan, Benjamin Pugsley, and Aysegul Sahin. 2016. “The Role of Start-Ups in Structural Transformation.” Center for Economic Studies Discussion Paper 16-38. [RDC]",,2016.0,Baruch,2013.0,,Completed,economics, 16-38,,,"structural transformation, ups structural, start ups, structural, role start"
908.0,Benjamin W Pugsley,NBER,"Wealth, Tastes, and Entrepreneurial Choice",,Industry and Sectoral Variation in Firm Dynamics,2017.0,WP,PB,,10.3386/w14250,,"Hurst, Erik G., and Benjamin W. Pugsley. 2015. “Wealth, Tastes, and Entrepreneurial Choice.” NBER Working Paper No. 21644. [RDC]",,2015.0,Baruch,2013.0,,Completed,economics, 21644,,,"entrepreneurial choice, tastes entrepreneurial, wealth tastes, entrepreneurial, wealth"
926.0,Paul T Scott,NBER,Estimating Market Power: Evidence from the U.S. Brewing Industry,,Food manufacturing and markup estimation,2017.0,WP,PB,,10.3386/w14250,,"De Loecker, Jan, and Paul T. Scott. 2016. “Estimating Market Power: Evidence from the U.S. Brewing Industry.” NBER Working Paper No. 22957. [RDC]",,2016.0,Baruch,2014.0,,Completed,economics, 22957,,,"brewing industry, estimating market, market power, brewing, industry"
926.0,Paul T Scott,Center for Economic Studies,Estimating Market Power: Evidence from the U.S. Brewing Industry,,Food manufacturing and markup estimation,2017.0,WP,PB,,10.3386/w14250,,"De Loecker, Jan, and Paul T. Scott. 2017. “Estimating Market Power: Evidence from the U.S. Brewing Industry.” Center for Economic Studies Discussion Paper 17-06. [RDC]",,2017.0,Baruch,2014.0,,Completed,economics, 17-06,,,"brewing industry, estimating market, market power, brewing, industry"
932.0,William R Walker,NBER,Every Breath You Take - Every Dollar You'll Make: The Long-Term Consequences of the Clean Air Act of 1970,,The Long-Run Effects of Positive Shocks to Prenatal Conditions in the United States,2017.0,WP,PB,,10.3386/w14250,,"Isen, Adam, Maya Rossin-Slater, and W. Reed Walker. 2014. “Every Breath You Take - Every Dollar You'll Make: The Long-Term Consequences of the Clean Air Act of 1970.” NBER Working Paper No. 19858. [RDC] ",,2014.0,Berkeley,2012.0,,Completed,economics, 19858,,,"breath dollar, air act, clean air, act 1970, breath"
932.0,William R Walker,Proceedings of the National Academy of Sciences,"Relationship Between Season of Birth, Temperature Exposure, and Later Life Wellbeing",114,The Long-Run Effects of Positive Shocks to Prenatal Conditions in the United States,2017.0,JA,PB,,10.3386/w14250,,"Isen, Adam, Maya Rossin-Slater, and Reed Walker. 2017. “Relationship Between Season of Birth, Temperature Exposure, and Later Life Wellbeing.” Proceedings of the National Academy of Sciences 114: 13447-13452. [RDC]",,2017.0,Berkeley,2012.0,,Completed,economics,,,13447-13452,"birth temperature, temperature exposure, life wellbeing, season birth, temperature"
932.0,William R Walker,Journal of Political Economy,Every Breath You Take - Every Dollar You'll Make: The Long-Term Consequences of the Clean Air Act of 1970,125,The Long-Run Effects of Positive Shocks to Prenatal Conditions in the United States,2017.0,JA,PB,,10.3386/w14250,,"Isen, Adam, Maya Rossin-Slater, and W. Reed Walker. 2017. “Every Breath You Take - Every Dollar You'll Make: The Long-Term Consequences of the Clean Air Act of 1970.” Journal of Political Economy 125: 848-902. [RDC]",,2017.0,Berkeley,2012.0,,Completed,economics,,,848-902,"breath dollar, air act, clean air, act 1970, breath"
932.0,William R Walker,Center for Economic Studies,Every Breath You Take – Every Dollar You Make: The Long-Term Consequence of the Clean Air Act of 1970,,The Long-Run Effects of Positive Shocks to Prenatal Conditions in the United States,2017.0,WP,PB,,10.3386/w14250,,"Isen, Adam, Maya Rossin-Slater, and W. Reed Walker. 2013. “Every Breath You Take – Every Dollar You Make: The Long-Term Consequence of the Clean Air Act of 1970.” Center for Economic Studies Discussion Paper 13-52. [RDC]  ",,2013.0,Berkeley,2012.0,,Completed,economics, 13-52,,,"breath dollar, air act, clean air, act 1970, breath"
937.0,Donovan A Anderson,University of North Carolina at Chapel Hill,The New El Dorado: Black Locational Attainment in the Post-Civil Rights Era,,"Patterns of Residential Settlement, Distribution,  and Locational Attainment in the United States:  1970-2000 and Beyond",2017.0,DI,PB,,10.3386/w14250,,"Anderson, Donovan A. 2015. “The New El Dorado: Black Locational Attainment in the Post-Civil Rights Era.” Ph.D. dissertation, University of North Carolina at Chapel Hill. [RDC] ",,2015.0,Triangle,2012.0,,Completed,economics,,,,"dorado black, el dorado, black locational, civil rights, dorado"
987.0,Kyle L Handley,NBER,Economic and Policy Uncertainty: Export Dynamics and the Value of Agreements,,"The Impact of Uncertainty, Investment, and Large Deviations in the Business Cycle on International Trade Data Quality and Measurement",2018.0,WP,PB,,10.3386/w14250,,"Carballo, Jeronimo, Kyle Handley, and Nuno Limão, “Economic and Policy Uncertainty: Export Dynamics and the Value of Agreements,” NBER Working Paper No. 24368, 2018. [RDC]",,2018.0,Michigan,2012.0,,Completed,economics, 24368,,,"uncertainty export, policy uncertainty, export dynamics, export, economic policy"
987.0,Kyle L Handley,University of Maryland,Global Sourcing under Uncertainty,,"The Impact of Uncertainty, Investment, and Large Deviations in the Business Cycle on International Trade Data Quality and Measurement",2018.0,MI,UP,,10.3386/w14250,,"Carballo, Jeronimo (2015) Global Sourcing under Uncertainty. UMD mimeo.",,2015.0,Michigan,2012.0,,Completed,economics,,,,"sourcing uncertainty, global sourcing, sourcing, uncertainty, global"
987.0,Kyle L Handley,University of Maryland,Trade Collapse and Policy Uncertainty in the Great Recession,,"The Impact of Uncertainty, Investment, and Large Deviations in the Business Cycle on International Trade Data Quality and Measurement",2018.0,MI,UP,,10.3386/w14250,,"Carballo, J., Handley,K., and Limao (2015) Trade Collapse and Policy Uncertainty in the Great Recession, UMD mimeo",,2015.0,Michigan,2012.0,,Completed,economics,,,,"trade collapse, great recession, recession, collapse policy, policy uncertainty"
994.0,Elton Mykerezi,Center for Economic Studies,Reservation Employer Establishments: Data from the U.S. Census Longitudinal Business Database,,"The Economic Geography and Dynamics of Businesses on Indian Reservations: The Role of Space, Demographics, and Tribal Institutions",2019.0,WP,PB,,10.3386/w14250,,"Akee, Randall, Elton Mykerezi, and Richard M. Todd. 2017. “Reservation Employer Establishments: Data from the U.S. Census Longitudinal Business Database.”  Center for Economic Studies Discussion Paper 17-57. [RDC]",,2017.0,Minnesota,2014.0,,Completed,economics,,,,"reservation employer, establishments data, employer establishments, census longitudinal, longitudinal business"
994.0,Elton Mykerezi,Center for Indian Country Development,Reservation Employer Establishments: Data from the U.S. Census Longitudinal Business Database,,"The Economic Geography and Dynamics of Businesses on Indian Reservations: The Role of Space, Demographics, and Tribal Institutions",2019.0,WP,PB,,10.3386/w14250,,"Akee, Randall, Elton Mykerezi, and Richard M. Todd. 2017. “Reservation Employer Establishments: Data from the U.S. Census Longitudinal Business Database.” Center for Indian Country Development Working Paper 2017-02. [RDC]",,2017.0,Minnesota,2014.0,,Completed,economics, 2017-02,,,"reservation employer, establishments data, employer establishments, census longitudinal, longitudinal business"
994.0,Elton Mykerezi,Center for Economic Studies,Reservation Nonemployer and Employer Establishments: Data from U.S. Census Longitudinal Business Databases,,"The Economic Geography and Dynamics of Businesses on Indian Reservations: The Role of Space, Demographics, and Tribal Institutions",2019.0,WP,PB,,10.3386/w14250,,"Akee, Randall, Elton Mykerezi, and Richard M. Todd, “Reservation Nonemployer and Employer Establishments: Data from U.S. Census Longitudinal Business Databases,” Center for Economic Studies Discussion Paper 18-50, 2018. [RDC]",,2018.0,Minnesota,2014.0,,Completed,economics, 18-50,,,"establishments data, employer establishments, census longitudinal, reservation nonemployer, nonemployer employer"
994.0,Elton Mykerezi,Cambridge University Press,Opportunities to Diversify: Reservation Workplaces and Job Numbers Compared to Nearby County Areas,,"The Economic Geography and Dynamics of Businesses on Indian Reservations: The Role of Space, Demographics, and Tribal Institutions",2019.0,BC,PB,,10.3386/w14250,,"Akee, Randall, Elton Mykerezi, and Richard M. Todd. 2019. Opportunities to Diversify: Reservation Workplaces and Job Numbers Compared to Nearby County Areas. In Miller, Robert, Miriam Jorgensen, and Daniel Stewart (eds.), Private Sector Economies for Native America: Entrepreneurship for the Seventh Generation. Cambridge University Press.  ",,2019.0,Minnesota,2014.0,,Completed,economics,,,,"reservation workplaces, diversify reservation, reservation, opportunities diversify, diversify"
994.0,Elton Mykerezi,Center for Indian Country Development,Supplement to Reservation Employer Establishments,,"The Economic Geography and Dynamics of Businesses on Indian Reservations: The Role of Space, Demographics, and Tribal Institutions",2019.0,WP,PB,,10.3386/w14250,,"Akee, Randall, Elton Mykerezi, and Richard M. Todd. 2017. “Supplement to Reservation Employer Establishments.” Center for Indian Country Development Working Paper 2017-03. [RDC]",,2017.0,Minnesota,2014.0,,Completed,economics, 2017-03,,,"reservation employer, supplement reservation, employer establishments, reservation, establishments"
997.0,Merle Ederhof,Management Science,How Economically Significant Are Unused Capacity Costs? A Large-Scale Empirical Analysis,67,Capacity Costs: Evidence from Census Data,2019.0,JA,PB,,10.3386/w14250,March,"Ederhof, Merle, Venky Nagar, and Madhav Rajan. 2021. How Economically Significant Are Unused Capacity Costs? A Large-Scale Empirical Analysis, Management Science 67 (3), 2021.",,2021.0,Michigan,2014.0,,Completed,economics,3,,,"capacity costs, unused capacity, costs, capacity, significant unused"
997.0,Merle Ederhof,Center for Economic Studies,An Empirical Analysis of Capacity Costs,,Capacity Costs: Evidence from Census Data,2019.0,WP,PB,,10.3386/w14250,,"Ederhof, Merle, Venky Nagar, and Madhav Rajan. 2017. “An Empirical Analysis of Capacity Costs.” Center for Economic Studies Discussion Paper 17-26. [RDC]",,2017.0,Michigan,2014.0,,Completed,economics, 17-26,,,"capacity costs, capacity, analysis capacity, costs, empirical analysis"
1014.0,Chad W Syverson,Center for Economic Studies,Internal Labor Markets and Investment in Conglomerates,,Firm Networks and Firm Expansion,2018.0,WP,PB,,10.3386/w14250,,"Silva, Rui. 2013. “Internal Labor Markets and Investment in Conglomerates.” Center for Economic Studies Discussion Paper 13-26. [RDC]   ",,2013.0,Chicago,2013.0,,Completed,economics, 13-26,,,"investment conglomerates, internal labor, labor markets, conglomerates, internal"
1014.0,Chad W Syverson,RAND Journal of Economics,The Micro Elasticity of Substitution and Non-Neutral Technology,50,Firm Networks and Firm Expansion,2018.0,JA,PB,,10.3386/w14250,,"Raval, Devesh, “The Micro Elasticity of Substitution and Non-Neutral Technology,” RAND Journal of Economics, 2019, 50:147-167. [RDC]",,2019.0,Chicago,2013.0,,Completed,economics,,,147-167,"micro elasticity, elasticity substitution, elasticity, neutral technology, micro"
1014.0,Chad W Syverson,Center for Economic Studies,How Important Are Sectoral Shocks?,,Firm Networks and Firm Expansion,2018.0,WP,PB,,10.3386/w14250,,"Atalay, Enghin. 2014. “How Important Are Sectoral Shocks?” Center for Economic Studies Discussion Paper 14-31. [RDC] ",,2014.0,Chicago,2013.0,,Completed,economics, 14-31,,,"sectoral shocks, important sectoral, sectoral, shocks, important"
1014.0,Chad W Syverson,Center for Economic Studies,When Liability Becomes Potential: Intermediary Entrepreneurship in Dynamic Market Contexts,,Firm Networks and Firm Expansion,2018.0,WP,PB,,10.3386/w14250,,"Cserpes, Tünde, “When Liability Becomes Potential: Intermediary Entrepreneurship in Dynamic Market Contexts,” Center for Economic Studies Discussion Paper 18-21, 2018. [RDC]",,2018.0,Chicago,2013.0,,Completed,economics, 18-21,,,"intermediary entrepreneurship, entrepreneurship dynamic, entrepreneurship, liability potential, potential intermediary"
1014.0,Chad W Syverson,Center for Economic Studies,Are Firm-Level Idiosyncratic Shocks Important for U.S. Aggregate Volatility?,,Firm Networks and Firm Expansion,2018.0,WP,PB,,10.3386/w14250,,"Yeh, Chen. 2016. “Are Firm-Level Idiosyncratic Shocks Important for U.S. Aggregate Volatility?” Center for Economic Studies Discussion Paper 16-47. [RDC]",,2016.0,Chicago,2013.0,,Completed,economics, 16-47,,,"idiosyncratic shocks, aggregate volatility, shocks important, shocks, important aggregate"
1014.0,Chad W Syverson,Center for Economic Studies,How Wide is the Firm Border?,,Firm Networks and Firm Expansion,2018.0,WP,PB,,10.3386/w14250,,"Atalay, Enghin, Ali Hortaçsu, Mary Jialin Li, and Chad Syverson. 2017. “How Wide is the Firm Border?” Center for Economic Studies Discussion Paper 17-35. [RDC]",,2017.0,Chicago,2013.0,,Completed,economics, 17-35,,,"firm border, border, wide firm, wide, firm"
1014.0,Chad W Syverson,NBER,How Wide is the Firm Border?,,Firm Networks and Firm Expansion,2018.0,WP,PB,,10.3386/w14250,,"Atalay, Enghin, Ali Hortaçsu, Mary Jialin Li, and Chad Syverson. 2017. “How Wide is the Firm Border?” NBER Working Paper No. 23777. [RDC]",,2017.0,Chicago,2013.0,,Completed,economics, 23777,,,"firm border, border, wide firm, wide, firm"
1014.0,Chad W Syverson,University of Chicago,Firm-Specific Shocks and Aggregate Volatililty,,Firm Networks and Firm Expansion,2018.0,DI,PB,,10.3386/w14250,June,"Yeh, Chen. 2017. Firm-Specific Shocks and Aggregate Volatililty. Ph.D. Dissertation. University of Chicago.",,2017.0,Chicago,2013.0,,Completed,economics,,,,"shocks aggregate, aggregate volatililty, specific shocks, shocks, aggregate"
1014.0,Chad W Syverson,University of Chicago,How Wide is the Firm Border?,,Firm Networks and Firm Expansion,2018.0,MI,UP,,10.3386/w14250,,"Atalay, Enghin, Ali Hortacsu, Mary Jialin Li, and Chad Syverson. 2016. “How Wide is the Firm Border?” University of Chicago mimeo. [RDC]",,2016.0,Chicago,2013.0,,Completed,economics,,,,"firm border, border, wide firm, wide, firm"
1014.0,Chad W Syverson,Quarterly Journal of Economics,How Wide is the Firm Border?,134,Firm Networks and Firm Expansion,2018.0,JA,PB,,10.3386/w14250,,"Atalay, Enghin, Ali Hortaçsu, Mary Jialin Li, and Chad Syverson. “How Wide is the Firm Border?”  Quarterly Journal of Economics, 2019, 134(4): 1845-1882.",,2019.0,Chicago,2013.0,,Completed,economics,4,,1845-1882,"firm border, border, wide firm, wide, firm"
1014.0,Chad W Syverson,American Economic Journal: Macroeconomics,How Important Are Sectoral Shocks?,9,Firm Networks and Firm Expansion,2018.0,JA,PB,,10.3386/w14250,,"Atalay, Enghin. 2017. “How Important Are Sectoral Shocks?” American Economic Journal: Macroeconomics 9: 254-280. [RDC] ",,2017.0,Chicago,2013.0,,Completed,economics,,,,"sectoral shocks, important sectoral, sectoral, shocks, important"
1014.0,Chad W Syverson,Center for Economic Studies,Are Firm-level Idiosyncratic Shocks Important for U.S. Aggregate Volatility?,,Firm Networks and Firm Expansion,2018.0,WP,PB,,10.3386/w14250,,"Yeh, Chen. 2017. “Are Firm-level Idiosyncratic Shocks Important for U.S. Aggregate Volatility?” Center for Economic Studies Discussion Paper 17-23. [RDC]",,2017.0,Chicago,2013.0,,Completed,economics, 17-23,,,"idiosyncratic shocks, aggregate volatility, shocks important, shocks, important aggregate"
1057.0,Kyle L Handley,Society for Economic Dynamics,"The Impact of Chinese Trade on U.S. Employment: The Good, The Bad, and The Apocryphal",,"Dynamics of Employment, Trade and Investment  at Multinational Firms",2019.0,JA,PB,,10.3386/w14250,,"Bloom, Nicholas, Kyle Handley, André Kurmann, and Philip Luck. 2019. The Impact of Chinese Trade on U.S. Employment: The Good, The Bad, and The Apocryphal.  2019 Meeting Papers 1433, Society for Economic Dynamics.",,2019.0,Michigan,2014.0,,Completed,economics,1433,,,"chinese trade, trade employment, impact chinese, employment good, employment"
1057.0,Kyle L Handley,Stanford University,"The Impact of Chinese Trade on U.S. Employment: The Good, The Bad, and The Apocryphal",,"Dynamics of Employment, Trade and Investment  at Multinational Firms",2019.0,MI,UP,,10.3386/w14250,,"Bloom, Nicholas, Kyle Handley, André Kurmann, and Philip Luck, “The Impact of Chinese Trade on U.S. Employment: The Good, The Bad, and The Apocryphal,” Stanford University mimeo, 2018. [RDC]",,2018.0,Michigan,2014.0,,Completed,economics,,,,"chinese trade, trade employment, impact chinese, employment good, employment"
1057.0,Kyle L Handley,Stanford University,Do R&D Tax Credits Create Jobs?,,"Dynamics of Employment, Trade and Investment  at Multinational Firms",2019.0,MI,UP,,10.3386/w14250,,"Lucking, Brian, “Do R&D Tax Credits Create Jobs?” Stanford University mimeo, 2018. [RDC] ",,2018.0,Michigan,2014.0,,Completed,economics,,,,"tax credits, credits create, create jobs, tax, credits"
1057.0,Kyle L Handley,Center for Economic Studies,Managing Trade: Evidence from China and the U.S,,"Dynamics of Employment, Trade and Investment  at Multinational Firms",2019.0,WP,PB,,10.3386/w14250,,"Bloom, Nicholas, Kalina Manova, John Van Reenen, Stephen Sun, and Zhihong Yu. 2019. “Managing Trade: Evidence from China and the U.S.” Center for Economic Studies Discussion Paper CES-19-15.",,2019.0,Michigan,2014.0,,Completed,economics,,,,"managing trade, trade evidence, evidence china, china, managing"
1057.0,Kyle L Handley,,"The Impact of Chinese Trade on U.S. Employment: The Good, The Bad, and The Debatable",,"Dynamics of Employment, Trade and Investment  at Multinational Firms",2019.0,MI,UP,,10.3386/w14250,July,"Bloom, N., Handley, K., Kurmann, A., and Luck, P. (2024). The Impact of Chinese Trade on U.S. Employment: The Good, The Bad, and The Debatable. Mimeo.",,2024.0,Michigan,2014.0,,Completed,economics,,,,"chinese trade, trade employment, impact chinese, employment good, employment"
1057.0,Kyle L Handley,NBER,Managing Trade: Evidence from China and the U.S,,"Dynamics of Employment, Trade and Investment  at Multinational Firms",2019.0,WP,PB,,10.3386/w14250,,"Bloom, Nicholas, Kalina Manova, John Van Reenen, Stephen Sun, and Zhihong Yu, “Managing Trade: Evidence from China and the U.S.” NBER Working Paper No. 24718, 2018. [RDC]",,2018.0,Michigan,2014.0,,Completed,economics, 24718,,,"managing trade, trade evidence, evidence china, china, managing"
1057.0,Kyle L Handley,Stanford University,Do Innovative Firms Offshore Less?,,"Dynamics of Employment, Trade and Investment  at Multinational Firms",2019.0,MI,UP,,10.3386/w14250,,"Lucking, Brian, “Do Innovative Firms Offshore Less?” Stanford University mimeo, 2018. [RDC]",,2018.0,Michigan,2014.0,,Completed,economics,,,,"firms offshore, innovative firms, offshore, firms, innovative"
1069.0,Kristina S Steffenson McElheran,Northeastern University,"Firm Boundaries, Restructuring, and Productivity: Plant-Level Evidence from Competitive Shocks",,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes",2022.0,MI,UP,,10.3386/w14250,,"Bai, John. 2015. “Firm Boundaries, Restructuring, and Productivity: Plant-Level Evidence from Competitive Shocks.” Northeastern University mimeo. [RDC]",,2015.0,Boston,2014.0,,Completed,economics,,,,"firm boundaries, restructuring productivity, competitive shocks, boundaries restructuring, productivity plant"
1069.0,Kristina S Steffenson McElheran,Georgia Tech Scheller College of Business,Does IT Level the Playing Field for Small Establishments? Evidence from Manufacturing,,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes",2022.0,WP,PB,,10.3386/w14250,,"Angle, Patricia, and Chris Forman, “Does IT Level the Playing Field for Small Establishments? Evidence from Manufacturing,” Georgia Tech Scheller College of Business Research Paper No. 18-37, 2018. [RDC]",,2018.0,Boston,2014.0,,Completed,economics, 18-37,,,"small establishments, establishments evidence, establishments, playing field, field small"
1069.0,Kristina S Steffenson McElheran,Georgia Institute of Technology,The Digital Reorganization of Firm Boundaries: IT Use and Vertical Integration in U.S. Manufacturing,,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes",2022.0,MI,UP,,10.3386/w14250,,"Forman, Chris, and Kristina McElheran. 2016. “The Digital Reorganization of Firm Boundaries: IT Use and Vertical Integration in U.S. Manufacturing.” Georgia Institute of Technology mimeo. [RDC]",,2016.0,Boston,2014.0,,Completed,economics,,,,"digital reorganization, firm boundaries, integration manufacturing, reorganization firm, reorganization"
1069.0,Kristina S Steffenson McElheran,MIT Mimeo,Data in Action: Data-Driven Decision Making in U.S. Manufacturing,,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes",2022.0,MI,UP,,10.3386/w14250,,"Brynjolfsson, Erik, and Kristina McElheran. 2015. “Data in Action: Data-Driven Decision Making in U.S. Manufacturing.” MIT Mimeo. [RDC]",,2015.0,Boston,2014.0,,Completed,economics,,,,"data driven, making manufacturing, data action, action data, manufacturing"
1069.0,Kristina S Steffenson McElheran,American Economic Review,The Rapid Rise of Data-Driven Decision Making,106,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes",2022.0,JA,PB,,10.3386/w14250,,"Brynjolfsson, Erik, and Kristina McElheran. 2016. “The Rapid Rise of Data-Driven Decision Making.” American Economic Review 106: 133-39 [RDC] ",,2016.0,Boston,2014.0,,Completed,economics,,,,"data driven, driven decision, decision making, rise data, data"
1069.0,Kristina S Steffenson McElheran,Northeastern University,"Organizational Form, Strategic Restructuring, and Firm Efficiency: Plant-Level Evidence from Competitive Shocks",,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes",2022.0,MI,UP,,10.3386/w14250,,"Bai, John (Jianqiu). 2016. “Organizational Form, Strategic Restructuring, and Firm Efficiency: Plant-Level Evidence from Competitive Shocks.” Northeastern University mimeo. [RDC] ",,2016.0,Boston,2014.0,,Completed,economics,,,,"firm efficiency, restructuring firm, strategic restructuring, competitive shocks, efficiency plant"
1069.0,Kristina S Steffenson McElheran,University of Toronto,Economic Measurement of AI,,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes",2022.0,MI,UP,,10.3386/w14250,,"McElheran, Kristina, “Economic Measurement of AI,” University of Toronto mimeo, 2018. [RDC]  ",,2018.0,Boston,2014.0,,Completed,economics,,,,"measurement ai, economic measurement, ai, economic, measurement"
1069.0,Kristina S Steffenson McElheran,Harvard Business Review,The Rise of Data-Driven Decision Making is Real but Uneven,,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes",2022.0,JA,PB,,10.3386/w14250,,"McElheran, Kristina, and Erik Brynjolfsson. 2016. “The Rise of Data-Driven Decision Making is Real but Uneven.” Harvard Business Review. [RDC]",,2016.0,Boston,2014.0,,Completed,economics,,,,"data driven, driven decision, decision making, data, rise data"
1069.0,Kristina S Steffenson McElheran,MIT Sloan Management Review,Taking a Value-Chain Perspective on Innovation,,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes",2022.0,JA,PB,,10.3386/w14250,,"McElheran, Kristina. 2016. “Taking a Value-Chain Perspective on Innovation.” MIT Sloan Management Review. [RDC]",,2016.0,Boston,2014.0,,Completed,economics,,,,"value chain, perspective innovation, innovation, chain perspective, chain"
1069.0,Kristina S Steffenson McElheran,The Financial Review,Financial disclosure transparency and employee wages,57,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes",2022.0,MI,UP,,10.3386/w14250,November,"Bai, John (Jianqiu), Matthew Serfling, and Sarah Shaikh. 2022.  Financial disclosure transparency and employee wages. The Financial Review. 57(4) 751-773. November 2022.",,2022.0,Boston,2014.0,,Completed,economics,4,,751-773,"disclosure transparency, financial disclosure, transparency employee, employee wages, disclosure"
1069.0,Kristina S Steffenson McElheran,MIT,Economies before Scale: Survival and Performance of Young Plants in the Age of Cloud Computing,,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes",2022.0,MI,UP,,10.3386/w14250,,"Jin, Wang, and Kristina McElheran. 2019. “Economies before Scale: Survival and Performance of Young Plants in the Age of Cloud Computing.” MIT mimeo. [RDC] ",,2019.0,Boston,2014.0,,Completed,economics,,,,"cloud computing, cloud, age cloud, economies scale, young plants"
1069.0,Kristina S Steffenson McElheran,Northeastern University,A Firm's Information Environment and Employee Wages,,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes",2022.0,MI,UP,,10.3386/w14250,,"Bai, John (Jianqiu), Matthew Serfling, and Sarah Shaikh, “A Firm's Information Environment and Employee Wages,” Northeastern University mimeo, 2018. [RDC]",,2018.0,Boston,2014.0,,Completed,economics,,,,"information environment, firm information, employee wages, wages, employee"
1069.0,Kristina S Steffenson McElheran,Northeastern University,Organizational Form and Trade Liberalization: Plant-Level Evidence,,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes",2022.0,MI,UP,,10.3386/w14250,,"Bai, John (Jianqiu). 2017. “Organizational Form and Trade Liberalization: Plant-Level Evidence."" Northeastern University mimeo. [RDC]",,2017.0,Boston,2014.0,,Completed,economics,,,,"trade liberalization, liberalization plant, liberalization, organizational form, organizational"
1069.0,Kristina S Steffenson McElheran,Center for Economic Studies,Data in Action: Data-Driven Decision Making in U.S. Manufacturing,,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes",2022.0,WP,PB,,10.3386/w14250,,"Brynjolfsson, Erik, and Kristina McElheran. 2016. “Data in Action: Data-Driven Decision Making in U.S. Manufacturing.” Center for Economic Studies Discussion Paper 16-06. [RDC]",,2016.0,Boston,2014.0,,Completed,economics, 16-06,,,"data driven, making manufacturing, data action, action data, manufacturing"
1070.0,Seth E Spielman,Center for Economic Studies,Who Are the People in My Neighborhood? The 'Contextual Fallacy' of Measuring Individual Context with Census Geographies,,Improving the Connection between the Spatial and the Survey Sciences,2021.0,WP,PB,,10.3386/w14250,,"Fowler, Christopher S., Nathan Frey, David C. Folch, Nicholas Nagle, and Seth Spielman, “Who Are the People in My Neighborhood? The ‘Contextual Fallacy’ of Measuring Individual Context with Census Geographies,” Center for Economic Studies Discussion Paper 18-11, 2018. [RDC]",,2018.0,Colorado,2013.0,,Completed,economics,18-11,,,"context census, census geographies, neighborhood contextual, census, people neighborhood"
1070.0,Seth E Spielman,Geographical Analysis,Who Are the People in My Neighborhood? The 'Contextual Fallacy' of Measuring Individual Context with Census Geographies,52,Improving the Connection between the Spatial and the Survey Sciences,2021.0,JA,PB,,10.3386/w14250,,"Fowler, Christopher S., Nathan Frey, David C. Folch, Nicholas Nagle, and Seth Spielman. 2020. “Who Are the People in My Neighborhood? The ‘Contextual Fallacy’ of Measuring Individual Context with Census Geographies,” Geographical Analysis. 52. 155-168.",,2020.0,Colorado,2013.0,,Completed,economics,,,155-168,"context census, census geographies, neighborhood contextual, census, people neighborhood"
1071.0,Scott H Holan,University of Missouri,Bayesian Unit Level Modeling of Non-Gaussian Survey Data Under Informative Sampling with Application to Small Area Estimation,,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN,,DI,PB,,10.3386/w14250,,"Parker, Paul A. 2021. Bayesian Unit Level Modeling of Non-Gaussian Survey Data Under Informative Sampling with Application to Small Area Estimation. PhD Dissertation.  University of Missouri.",,2021.0,Missouri,2015.0,,Active,economics,,,,"gaussian survey, informative sampling, survey data, sampling, bayesian unit"
